are_images_connected,difficulty_in_understanding,is_text_in_left_image,is_text_in_right_image,left_image,overall_description,right_image,filename
,EASY,,,"A close up image of a traffic light meant for pedestrians and bicycles. The light has a stick figure of a human placed vertically above a drawing of a bicycle. Both are lit up in red, and inside the same circle.","This image is funny because images of very regular things - a stick figure and a bicycle, get converted into  looking phallic from a distance.","A traffic light pole with 2 lights.  Currently  the top red light is lit up. The light is a pedestrian light, but the symbol on it looks phallic, 2  circles and a cylinder between them. It is presumably not meant to look phallic but the  distance blurs the actual figures on the light.",20240101_172400.jpg
,EASY,,,"The image shows a woman sitting at a table in a restaruant pointing to chopsticks on her table. There is also a wine glass, a fork and a knief on her table.","The image is satirical because even thought the woman is not able to eat food with chopstick properly, she chooses it over fork and knife to look sophisticaed.",The image shows a person using chopstick to pick up food from the cup. The person is not able to handle food with chopstick well and is dropping the food around the cup on the table.,20240101_180335.jpg
,MEDIUM,TRUE,,a bactrian camel(two humped camel) is seen with a needle of its height in front of it and a quote written above the image,"The image is ironic, because an old man with good looking clothes, symbolising him as rich, is showing a quote on the difficulty for a rich man to gain eternal life whereas the man has both long life meaning eternal life and good clothes meaning rich",a saintly old man is shown holding some poster with some writings on it with a photo of a bactrian camel(two humped camel),20240101_180155.jpg
,EASY,TRUE,TRUE,It is an e-ticket,"The images are ironic since even though e-tickets are provided to save resources like paper, people choose to print out e-tickets on large sheets of paper which leads to more wastage",It is an e-ticket printed on paper,20240101_180754.jpg
,EASY,TRUE,TRUE,"t-shirt with ""NONBINARY"" written on it.","The image is ironic, as the t-shirt that says ""NONBINARY"" has only 2 options for gender on an online retail forum.","t-shirt with ""NONBINARY"" written on it, with several customizable options for color and 2 gender options on the right",20240101_172838.jpg
,HARD,,,It is a man looking at an image of his cavity filled teeth,The images are funny since they show how people are more worried about small damages to  things they can replace like cars but are not worried about permanent damages to their own health,It is a man looking worried after seeing a microscopic hole in his car,20240101_180032.jpg
,EASY,,,The image shows a man with tattoos on both of his arms. He is wearing white T-shirt .,The image is funny because while from the distance it seems that the man has big tattoos on both of his arms upon a closer look at the arms it turns out there is no tattoo and what seemed to be tattoos are just hairs on his arm.,The image shows a closeup of an arm. The arm is shown to be very hairy and the hairs are wavy.,20240101_173024.jpg
,EASY,,,A father is hiding the eyes of his child so that he cannot see the private parts of women.,Although the children is hiding his children's eyes from a women but he himself is roaming in shirt open which is showing his body.,The father is roaming with his children in shirt showing his body.,20240101_180927.jpg
,EASY,TRUE,,"a bag with text ""eco-bag"" on it, probably made up of some eco-friendly materials like cotton or jute","The image is ironic, because people nowadays use eco-bag thinking them as safe for the environment but in turn use products which are harmful for the environment or are packaged in some non-biodegradable material",a person carrying different products inside plastic containers or plastic wrapping in a carry bag,20240101_182328.jpg
,EASY,,,A desktop screen opened in a computer monitor.,"The image is ironical, as the folder icons on the desktop screen are very neatly arranged, while the person using the computer has littered the table with used food packets, dirty plates, and wrappers.","A desktop screen opened in a computer monitor on a table littered with used food packets, dirty plates, and wrappers",20240101_182426.jpg
,EASY,,,The image shows a boy playing music on his phone loudly. The image also shows another man annoyed by the loud music.,"The image is funny because while the man does not like the boy playing music loudly on his phone, the man himself is okay with doing the same thing with his car and playing loud music in the car with the sound coming out of the car.",The image shows a man driving a car with the windows of the car rolled down. He has one of his hands on the steering wheel and the other hand hanging out of the window of the driver side of the car. The man is playing loud music in his car with the sound coming out of the car.,20240101_181054.jpg
,EASY,,,a person writing his/her to-do list,"The image is ironic, because in the first image it shows that someone plan their life in a to-do list but as the future is unknown anyone can never be sure whether he/she can complete their to-do lists",a person zipping a dead body inside some cover,20240101_175759.jpg
,EASY,,,"a mountaineer climbing up the mountain, enjoying the view, birds are flying, rainbow is visible","The image is ironic, because the mountaineer climbs up the mountain to view the world from the peak but due to so much cloud, at the top, nothing is visible whereas he was able to witness some awesome views while climbing up the mountain",a mountaineer is at the peak of the mountain but nothing is visible due to clouds,20240101_173108.jpg
,EASY,,,a nail clipper,"The image is ironic, because even after nail clippers are available people prefer biting their nails by teeth",a person biting their nails to cut them,20240101_175002.jpg
,MEDIUM,TRUE,,"A man drawing a graffiti themed ""save Our earth"".","The image is ironical, as the cans of paint used to make graffiti on the theme ""Save the Earth"" seems to be destroying the Earth when it overflows on the grass, as it is harmful for the flora and fauna, as can be seen from the dying insects.","A can of paint, overflowing onto the grass. The paint seems to be harmful for insects.",20240101_175541.jpg
,EASY,,,a man wearing shorts is not allowed at some hotel due to the prohibition board signaling no shorts allowed at the gate by the bodyguard at the gate,"The image is ironic, because the same hotel which is not allowing the man to enter in shorts is allowing many girls to enter the hotel in shorts displaying the dual face of the hotel management",a man wearing shorts is not allowed at some hotel due to the prohibition board signaling no shorts allowed at the gate by the bodyguard at the gate but many girls are entering the same hotel wearing shorts,20240101_173532.jpg
,EASY,,TRUE,"a person sitting in a flight seat, with a gaming console in the person's hands.","The image is ironic, as the person is holding the game console to play a game during the flight. However, the person is unable to play the game, as the game requires internet (as is the case with many modern games), and internet is unavailable in many lights.","a person sitting in a flight seat, with a gaming console in the person's hands, with a message which shows ""No Internet, the game does not work without internet"".",20240101_173647.jpg
,EASY,,,A regular ordinary cap that is meant to shield one's eyes from the sun,"This image is funny because a cap is MEANT to protect one's eyes from the sun, but this person is more interested in using it to look stylish, even if it makes them uncomfortable.","A person wearing a cap backwards to look stylish. Sun is very brightly shining on their face, making them uncomfortable so they squint their eyes and use their hand to shadow their face from the sun.",20240101_181146.jpg
,EASY,,,It is a man with a medal,The images are funny since they show a man who thinks he has made a great achievement by winning a medal and is proud while everyone around him has the same medal and have achieved the same thing as he has,There are many humans and animals with the same medal,20240101_174055.jpg
,EASY,,,It is a paper straw,"The images are ironic since paper straws were invented to reduce use of plastic in the form of plastic straws. However, these straws come in plastic packages and are served with plastic cups, defeating  the purpose",It is paper straw in a plastic covering and a soft drink in a plastic cup,20240101_180658.jpg
,EASY,TRUE,TRUE,"a new sparkling pen at some sale priced at around $2,065.00","The image is ironic, because it conveys the message that even with the costliest of pens people handwriting remains the same",someone with not so good handwriting giving his signature at some paper,20240101_182249.jpg
,EASY,,,The image shows the bedroom of a child with various small toy cars and posters of cars on the wall. The child in the picture is also riding a bigger toy car.,"The image is funny beaucse while the person as a child enjoyed being around cars, had various small toy cars and even rode a bigger toy car, as as grown up he does not enjoy being in a car during a traffic jam while he is driving .",The image shows a man annoyed by the slow traffic on his way as shown on the map while he is driving.,20240101_175259.jpg
,EASY,TRUE,,It is a .png image of a hat with a transparent background,The images are funny since the .png image of the hat is supposed to have a transparent background but when the image is used for editing a mans picture it is seen that the background is not actually transparent and it ends up covering the face of the man in the other picture.,It is a man with a hat whose face is covered by a pattern,20240101_175009.jpg
,MEDIUM,TRUE,TRUE,"It is a twitter account ""Yes, But"" that is crediting the actual owner ""@like_gudim"" for its posts","The images are ironic since while the page ""Yes, But"" credits the original creator ""@like_gudim"" for its posts, the page ""Yes, But"" has blocked ""@like_gudim"" from following the page","Image showing user blocked from following the page ""Yes, But""",20240101_181310.jpg
,EASY,,,a slim woman,"the image is funny, as from the front, the woman is apparently slim, but she looks chubby from the side.",An apparently chubby woman sitting,20240101_181101.jpg
,EASY,,,"a woman and a man having their meals at some restaurant, with a plate of salad on the woman's side and a burger and french fries on the man's side on the table",The image is ironic because in the first image it is shown that the woman has got salad for her but she is having french fries from the man's plate which displays that the girl is trying to show herself as health conscious by having a plate of salad for her but she wants to have to have fast food but rather than having them for herself she is taking some from other's plate,"a woman and a man having their meals at some restaurant, with a plate of salad on the woman's side and a burger and french fries on the man's side on the table and the woman is having the french fries from the man's plate",20240101_174225.jpg
,EASY,TRUE,TRUE,The image shows an annoyed woman talking to the representative in the call center on her mobile phone for over 23 minutes and 45 seconds.,"The image is ironical because while the woman is annoyed by the unresponsiveness of the call center, she herself is being unresponsive to many people in the chat.","The image shows the chats of a person on their phone. There are a total of 53 unread chats. In the unanswered chats, the people on the other end are asking if this person got their message or if this person is ignoring them.",20240101_182238.jpg
,EASY,,,"A box of healthy salad. The left quarter of its lid is transparent, revealing the greens inside.",Image is funny because the box of salad was marketed in a way that showed a lot more salad content than was really present inside it.,"A box of salad that has very little greens. Its left quarter area contains greens, and the other three quarters looks almost empty with only some salad dressing and some  bread crumbs in it.",20240101_172731.jpg
,EASY,TRUE,TRUE,"The image shows an old man speaking into a microphone. The image also shows the man's expertise in several areas such as Astronomy, Math, Physics, TikTok, Philosophy and Life Experience. The man has 100% exepertise in all the areas except Tik Tok where he has less than 5% exepertise.","The image is satirical beacause it shows that people with more tiktok expertise are treated more importantly than the ones who are expert in all the other areas but tiktok. Here, the number of microphones a man speaks into is indicative of his importance.","The image shows a you man speaking into several microphones. The image also shows the man's expertise in several areas such as Astronomy, Math, Physics, TikTok, Philosophy and Life Experience. The man has  less than 5% exepertise in all the areas except Tik Tok where he has 100% expertise.",20240101_173826.jpg
,EASY,TRUE,TRUE,"The image shows a football player wearing a t-shirt under his blue jersey that says ""GOD IS GREAT"". The player is thinking that he will celebrate by showing the inner t-shirt with the text when he scores a goal.","The image is funny because the player thinks that when he scores a goal he will thank the god and show his t-shirt saying ""GOD IS GREAT"" but he ends up not being able to score any goals meaning that God did not want him to score any goals.",The image shows the results of a football match after the 90 minutes are over. It shows that the team wearing the red jersey scored 3 goals whereas the team with blue jersey scored 0 goals. The red team has won the match.,20240101_181128.jpg
,EASY,TRUE,TRUE,"a chicken with a quote ""HAPPY CHICKEN"" in the background","The image is ironic, because in the left image as in the logo it shows happy chicken but in the right image the chicken pieces are shown packed in boxes","chicken pieces packed in boxes with a logo of a chicken with name ""HAPPY CHICKEN"" printed on it",20240101_182638.jpg
,EASY,,,It is a man with tattoos on his body,"The images are funny since it shows a man with tattoos on his exposed body parts in normal clothing gives the illusion that he has tattoos all over his body, but in reality, he has tattoos only on those few parts.","It is a man in his underwear with tattoos on his knees, neck and hands only",20240101_182357.jpg
,MEDIUM,,,It is a robot,"The images are ironic since we work to improve technology and build innovations like robots, but in the process we ourselves become less human and robotic in the way we function.",It is a human in a robot suit,20240101_173141.jpg
,EASY,,TRUE,The image shows a women exercising with a bar bell in a gym. She is wearing a sport outfit. She is crouching down on one leg doing a single leg squat with a bar bell.,"The image is satirical because it shows that while people do various kinds of exercises and go to gym to stay fit, they avoid doing simplest of physical tasks like using stairs instead of elevators to get to even the first or the second floor of a building.",The image shows the control panel inside of an elevator. The indicator for the first floor is green which means the button for the first floor was pressed. A hand is about to press the button for the second floor.,20240101_182308.jpg
,EASY,,TRUE,It is a car stopping to give way to queue of ducks crossing the road and allow them to cross safely,The images are ironic since they show how a man supposedly cares for ducks since he stops his vehicle to give way to queue of ducks allowing them to safely cross a road but on the other hand he goes to a peking duck shop to buy and eat similar ducks after having them killed,It is a man parking his car and entering a peking duck shop,20240101_180947.jpg
,EASY,,,The food is kept on a blanket in a garden.,The Picture shows that although we enjoy food in garden but there are some consequences of eating food in garden. Many bugs and bees are attracted towards our food and make our food sometimes non-eatable.,Some bugs are attracting towards the food.,20240101_180851.jpg
,EASY,,,The food is in the plate.,The environment is feeling very relaxing in the right image but the consequence is that the food is flying die to powerful wind. So the person is not able to eat it properly.,The food is flying.,20240101_174708.jpg
,EASY,,,The image shows a green peeler.,"The image is funny because it suggests that while we have peelers to peel off the skin of many different fruits and vegetables, it is useless against a ginger which has a very complicated shape.",The image shows a ginger root with many branches and a complex shape.,20240101_175602.jpg
,MEDIUM,,,"The image shows a hand holding a gun like object that is shooting out money bills in the air. The man's cuffs are green,red and white.",The image is satirical because the man that is shooting money in the air causing a rain of money bills is the same person who is crouching down to collect the fallen dollar bills from the ground which makes the act of shooting bills in the air not so fun.,"The image showns a man crouching down to pick up fallen money bills on the ground. The man's cuffs are green, red and white.",20240101_175031.jpg
,EASY,,,The image shows a man overfilling his plate with different kinds of food from a self serving station with various items placed on it.,"The image is satirical because while the man overfils his plate with differnt food items, he ends up wasting almost all of it by not eating them or by taking just one bite out of them leaving the rest.",The image shows a plate full of food items. Most of the items seems untouched and few have been taken a bite from.,20240101_172351.jpg
,EASY,,,a person looking at a X-mas tree,"The image is ironic, because in the first image a person is seen watching his decorated X-mas tree but in the second image it is shown that the tree is looking beautiful not due to its natural beauty but the bulbs connected via power decorated over it",a person looking at a X-mas tree on which various bulbs are put and are connected to electricity source,20240101_172348.jpg
,EASY,TRUE,,A woman sipping from a cup in a cafe with her laptop,"The images are funny since it shows a woman simply sipping from a cup at ease in a cafe with her laptop not caring about anything going on outside the cafe even though the situation is very grave,that is, a nuclear blast",A woman sipping from a cup while looking at a nuclear blast from her desk,20240101_174757.jpg
,EASY,TRUE,TRUE,The image shows a shoe. The old of price of the shoe which was $120 has been crossed of and the new price is just $54.99.,"The image is funny because while there is a big discount on the shoes inticing customer to buy them, the only available sizes are 35 and 47 which are the smalles and the largest meaning that a majority of the people can not buy the shoe because they won't fit.","The image shows a part of the shoe, its new price and old, crossed off price and available sizes. The old price was $120 and the new price is $54.99. There are only 2 available sizes which are 35 and 47. These two sizes are the smallest and the largest respectively of all the available sizes.",20240101_173010.jpg
TRUE,EASY,TRUE,TRUE,"The weather during weekdays is sunny, shown using an image of the Sun.","The image is funny, as the weather is sunny during the weekdays, which are generally the days when people work in a job. People look forward to go outside and enjoy in the weekend, but due to an unexpected rainy weather, people will not be able to go outside.","The weather during weekends is rainy, shown using an image of a grey cloud with water drops.",20240101_173921.jpg
,EASY,,,It is a cup of coffee with latte art,The images are funny since it shows how someone has put effort into a cup of coffee to do latte art on it only for it to be invisible after a lid is put on the coffee cup before serving to a customer,It is a cup of coffee with its lid on top,20240101_173552.jpg
,EASY,,,A person in black formal suit and pants,"The image is ironical, as the person wearing a formal black suit and pants, is wearing colorful socks, probably due to the reason that socks are not visible while wearing shoes, and hence, do not need to be formal.","Legs of a person with black pants, and colorful socks with flowers and trees drawn on it.",20240101_172339.jpg
,EASY,,,"a man, wearing mask, protecting a puppy from fire, in the background, by covering it in a sheet of cloth","The image is ironic, because in the left image the man is showing love and care for the puppy but in the right image the same puppy is shown to be chained in a kennel, which shows dual nature of human towards animals",a puppy chained to a kennel,20240101_180802.jpg
,EASY,,,a clear sky with sun and clouds,"The image is ironic, because in the first image clear sky is visible but in the second image the same view is getting blocked due to the electricity pole",an electricity pole with a lot of wires over it,20240101_180037.jpg
TRUE,HARD,TRUE,,"A person wearing a t-shirt that says ""You Only Live Once"" lying dead on the dance floor of a club probably due to drug overdose.","The image is ironical, as the person is believes that ""You Only Live Once"" (as can be seen from the t-shirt), and hence drinks and parties a lot, and is dead probably due to drug overdose. However, it is shown that the person re-incarnates as a crying baby, which goes against the person's belief.",A crying baby,20240101_174119.jpg
,EASY,TRUE,,It is a woman with a pregnancy test showing positive results while a man is protesting against abortion,"The images are ironic, since they show how men protest against abortion of babies but they choose to leave instead of taking care of the babies once they are born leaving the mother with neither a choice or support for raising a child",It is a man leaving his partner alone with her baby,20240101_172412.jpg
,HARD,,,"A car approaching a Y junction, with the left fork empty, and the right fork filled with a line of cars.","This image is funny, as a car is approaching a Y junction, with the left fork empty, and the right fork filled with a line of cars. If it needs to go to the right, it should get behind the line of cars. However, in an attempt to probably go faster, the car tries to cut in line, leading to more traffic,  thereby increasing commute time.",A car trying to enter the right fork of a Y junction by cutting in between a line of cars. This kind of driving is generally not correct.,20240101_172936.jpg
,EASY,TRUE,,a woman standing with some pose for photo at any auditorium with some program going on in her background at the stage with some hashtags written on the image at different places,"The image is ironic, because in the first image the woman is trying to show off how much she likes ballet dance performance by posting a photo attending some program but in the same program she is seen sleeping on the chair",a woman sitting on a chair and sleeping with her mouth open,20240101_182413.jpg
,EASY,TRUE,TRUE,Image of a person's tattoo that says 'vegan',The irony in this video is that people try to promote and embrace veganism end up using products that are not animal-free.,Image of a scientist making tattoo ink using animal bones.,20240101_182252.jpg
TRUE,MEDIUM,,,"a lid or cap opening on a paper liquid container, probably tetra pack","The image is ironic, because on the one side tetra packs have cap or lid for opening but on the other side the folded end seems inconvenient to handle",folded end of tetra pack,20240101_174853.jpg
,EASY,,,a person pulling out a napkin from the box,"The image is ironic, because even when there is a need of only one napkin but the napkins are so tightly packed that more than one napkin gets out sticked together",a person pulling many napkin out of a box together,20240101_175531.jpg
,EASY,TRUE,TRUE,many different color currency notes' bundles,"The image is ironic, because there are many different color currency notes' bundles but they are just as a currency in the game of monopoly and they have no real value",a board of game monopoly with many different color currency notes' bundles,20240101_180643.jpg
,EASY,TRUE,,"a page of a book showing the image of a strawberry cake, along with its ingredients.","The image is funny, as when making a strawberry cake using  a recipe book, the outcome is not quite what is expected, and one has to wash the used utensils afterwards as well.","a cake on a plate, along with a bunch of used utensils to be washed.",20240101_182246.jpg
,EASY,,,The image is showing neat and clean shoes.,The person's shocks is very dirty although the shoes are very clean. Thus there is an irony that not all things are same as they appear.,The image is showing dirty shocks.,20240101_173219.jpg
,EASY,TRUE,TRUE,The image is just text with red font saying anti capitalist where the letter s in the capitalist is replaced with the dollar sign.,"The overall image is ironical because the people who claim to be anticapitalist are the ones with a lot of capital as shown here. While the woman supports anticapitalism as shown by the sticker on the back of her laptop, she has a phone, a camera and a laptop all of which require money.","A woman wearing glasses and a cap using laptop with the sign anti capitalist on it. The women has a phone, a camera and a cup on the table. She is working.",20240101_173054.jpg
,EASY,,,A tree decorated with lights all over it,The images are ironic since they show how putting a lot of lights as decorations on trees make them beautiful to look at for us but cause trouble to the birds who actually live on trees for no good reason,Birds dazzled by many lights,20240101_172325.jpg
,EASY,TRUE,TRUE,"a screenshot of an account creation page of some site with login details filled in such as username and create password and password strength checker showing password as ""strong""","The image is ironic, because people set such a strong passwords for their accounts that they even forget the password and need to reset them","a screenshot of a login page of some site with username filled in and the user about to click on ""Forget Password"" link as the pointer is over the link",20240101_181009.jpg
,EASY,TRUE,TRUE,"The image shows a text in beautiful font with flowers drawn around it. The text says ""Beauty Is Inside"".","The image is satirical because while the text on the paper says that beauty lies inside, the woman ignores the note and continues to apply makeup to improve her outer beauty.","The image shows a woman applying makeup after shower by looking at herself in the dressing mirror. A piece of paper that says ""Beauty is Inside"" is clipped to the top of the mirror.",20240101_175808.jpg
,EASY,,,It is a woman getting a full body massage from a masseuse.,"The images are funny since even though a woman goes for a full body massage expecting it to soothe her whole body, the design of a massage table is such that no matter how badly her nose itches, she cannot scratch it to soothe herself",It is a woman scratching her nose,Screenshot_2024-01-01-17-55-08-129_com.twitter.android~2.jpg
,EASY,TRUE,TRUE,a strong password for connecting Wifi on mobile.,"The image is ironical, as a person sets a strong password for Wifi, while setting a very simple 4-digit PIN (1234 here) for online banking, where a much higher level of security would be required instead.",4-digit PIN for online banking set to 1234.,20240101_172417.jpg
,EASY,,,An exercise bike,"The images are funny since they show an exercise bike has been bought but is not being used for its purpose, that is, exercising. It is rather being used to hang clothes, bags and other items",An exercise bike being used to hang clothes and other items,20240101_182549.jpg
,EASY,,,a person applying tape over a laptop's camera,"The image is ironic, because the person is seen as applying tape over laptop's camera over some privacy concerns but on the other hand he/she carries the phone without covering its camera",a smartphone screen,20240101_172843.jpg
,EASY,,,The image shows a man looking at his bed. His bed seems well made with blanket and pillow properly arranged on the mattress.,"The image is funny because while the bed seems to be well made with the blanket on top, the actual blanket inside the blanket cover is twisted and not properly set.",The image shows a man looking at his bed. The image also shows the actual blanket inside its cover on the bed. The blanked is all twisted inside the cover and is not properly set.,20240101_175339.jpg
,EASY,,,a couple cuddling together in a blanket,"The image is ironic, because after some time cuddling within a blanket raises the temperature which leads to inconvenience",a couple feeling sweaty while cuddling together in a blanket,20240101_173341.jpg
,EASY,,,a tattoo of a snake with its mouth wide open on someone's hand,"The image is ironic, because in the first image the tattoo of a snake on someone's hand may give us a hint about how powerful or brave the person can be who is having this tattoo but in the second image the person with same tattoo is seen frightened due to a snake in his house",a person standing on a chair trying save himself from the attack of snake and the snake is probably trying to climb up the chair,20240101_182235.jpg
,EASY,TRUE,TRUE,It is a step counting app showing that the user is only one step away from his daily target of 10000 steps,"The images are funny since they show how close the user is to hitting his daily target of 10000 steps, but as soon as it is midnight, the step counter resets and the user misses his daily target by one step. Once the clock resets he is 9999 steps away from his target",It is a step counting app showing that the user is 9999 step away from his daily target of 10000 steps,20240101_174629.jpg
,EASY,TRUE,TRUE,"The image shows a label saying ""BUY 2 GET 1 FREE"" which means that on a purchase of two unit of this product, the buyer would get one more unit for free.","The image is funny because while there is an offer that lets the buyer have a free item if they buy two items of the product, there is only two units left which means that the buyer won't get the free unit.","The image shows two units of a product that is labelled ""BUY 2 GET 1 FREE"".",20240101_182545.jpg
TRUE,EASY,TRUE,TRUE,it shows the count of followers on a random social media account,The image creates a comparison between the following and followers of a account which suggests that the person/organizations follows more people/organizations than being followed back,it shows the count of following on a random social media account,20240101_180312.jpg
,EASY,TRUE,TRUE,The image is showing branded clothes hanging on a wire.,The image is ironic because although the clothes are of branded companies but they are hanging in very poor building.,"The image is showing a very old, dirty and broken house.",20240101_172947.jpg
,EASY,TRUE,TRUE,The image shows a plate full of cookies. There is also a cookie box behind the plate. The cookie box behind the plate states number of calories as 160 in the nutrition facts table.,"The image is funny because the full plate of cookies is hiding the entire nutrition facts leading readers to believe that the entire box of cookies amounts to just 160 calories but when all the cookies are eaten and the plate is empty, the rest of the nutrition table is visible which tells that each serving of cookies amounts to 160 calories where one serving consists of 3 cookies.",The image on the right shows an empty plate with the cookie box behind it. The cookie box behind the plate states number of calories as 160 for each serving in the nutrition facts table. It is also mentioned that a serving size is 3 cookies which comes out to be 34 grams.,20240101_181415.jpg
,EASY,TRUE,,It is a view of a vehicles rear end as seen by a reverse camera being projected onto a screen,"The images are funny since even it shows how even though modern cars are fitted with features like reverse camera, drivers still choose to not use it and reverse the old fashioned way by looking behind",It is a man in his car looking back to ensure he is reversing his car safely,20240101_180958.jpg
,EASY,TRUE,TRUE,It shows a muscular male body with a turned off bulb,"The images are funny because it shows the same body in two different lighting conditions, one where it appears muscular and one where it does not appear so. It shows how we can make the same thing appear appealing to others without it being as appealing in real life",It shows a non athletic male body with a turned on bulb,20240101_180501.jpg
,EASY,,,a car painted in a camouflage color,"The image is ironic, because in the left image a car is painted in camouflage color but in the right image the same car is getting involved in accident to due to its color as other drivers face difficulty in recognizing the colors",a red color car crashing into a camouflage color car due to the background of green plants,20240101_174213.jpg
,EASY,TRUE,TRUE,an image of a scenic view on mobile,"This image is funny, as when using the ""photos"" app on mobile, it shows you images perfectly, which fill the entire screen, but when viewing the same photos on the computer monitor, the same images have a very limited coverage of the screen.",an image of a scenic view in portrait mode on a computer monitor.,20240101_175745.jpg
,EASY,,,a wheel locked with a bike lock on a poll,the irony is that people lock their bikes on poles where anyone can just lift the bike out of the pole,a bicycle locked on a pole,20240101_174958.jpg
,EASY,TRUE,TRUE,a poster suggesting a sale of 50% off on a particular day,"The image is ironic, because the poster of sale at a store is posted 3 days ago on a social media account which means the sale which was for only one day has become over","a post posted by a social media account, named as OnlineShop, 3 days ago showing an image of a poster suggesting a sale of 50% off on a particular day",20240101_172944.jpg
,EASY,,,a person underwater exploring the biodiversity under water,"The image is ironic, because some people like to enjoy watching the biodiversity under water but they are not able to explore this due to excess crowd in such places where people like to play, swim etc. in water",a person underwater watching people swimming in the water,20240101_182503.jpg
,EASY,TRUE,,The image shows a boy annoyed with studying maths. Behind him is a board with lots of shapes like  semi-circle and trapezoid drawn along with mathematical formulas like areas of circle. There is a graph of sinusodial curve also drawn on the board.,"The image is ironical beaucse while the boy does not enjoy studying mathematics and different geometric shapes like semi circle and trapezoid and graphs of trigonometric equations like that of a sine wave, he enjoys skateboarding on surfaces and bowls that are built based on the said geometric shapes and graphs of trigonometric equations.",The image shows a boy wearing a cap with a skateboard in his hands. He is happy. In his background there is a skateboard park. In the background there is a person skateboarding on a semi cirular bowl. We also see bowls of other shapes like trapezoid and sine wave.,20240101_174123.jpg
,EASY,,,Images of a man with pattern baldness,The images are funny since they show how new hairstyles are closely resembling pattern baldness,Three men with unusual hairstyles,20240101_172902.jpg
,EASY,,,They are nails with nail polish,"The images are funny since it shows that even though the polished and colorful long nails look pretty and fashionable, the hinder the masseuse's ability to do her job of providing relaxing massages and hurts her customers","It is an image of a woman with scratches on her back, possibly due to the nails of the masseuse digging into her back",20240101_182541.jpg
,EASY,TRUE,TRUE,a poster of some music band's world tour,"The image is ironic, because in the first image some musical band is showing its poster of world tour but in the right image only a few countries are highlighted as tour countries",a world map highlighting some parts as tour countries,20240101_175119.jpg
,EASY,TRUE,,It is a disposable shaving razor,The images are funny since the show people end up using disposable razors for so long that they need not dispose it anymore.,It is a man shaving his beard with the same razor through multiple phases of his life,20240101_174848.jpg
,EASY,,,a person is trying to remove the scratches on his car while crying on them,"The image is ironic, because the person who cries over the scratches on his car but applies stickers on his car happily which is quite dual nature of the person",a person happily applies car decal or some logo on his car to make it look stylish,20240101_174107.jpg
,MEDIUM,TRUE,TRUE,It is a calendar marked with holidays and a planned vacation,The images are funny since they show how women plan out holidays with much care but their menstrual cycles ruin their plans by causing trouble due to bleeding and discomfort that occur during menstruation,It is a menstrual calendar with the menstruation days marked on it,20240101_173748.jpg
,EASY,,,a pair of high heeled shoes,"The images are funny since they show how the prettiest footwears like high heels, end up causing a lot of physical discomfort to the user, all in the name fashion","A pair of feet, blistered and red, with bandages",20240101_172315.jpg
,EASY,,TRUE,a person undergoing a road accident,"the irony in the image comes from people trying to avoid covid, where a injured person is scanned for covid before they get help.",a person scanning a dead person for COVID,20240101_174548.jpg
,EASY,TRUE,TRUE,"The image shows a person wearing white gloves preparing a taco in their hand. There are several condiments on the table. There is also a note that says ""TACO 1$"" indicating that each taco is sold for only $1.","The image is satirical because the intention of wearing a glove while preparing food is to not let any germs and dirt from our hands get into the food, people do other tasks like collecting money from the customer wearing the same gloves and thus making the gloves themselves dirty.",The image shows two people transacting $1 among them. One of them is wearing white gloves and one of them is not wearing any gloves.,20240101_173000.jpg
,EASY,TRUE,TRUE,a person reading a book on a bed sitting next to a cat and some coffee,the irony in this image is that people say that they like to read things while they instantly skip reading the terms and conditions when registering for anything online.,a person trying to skip reading the terms and conditions on the internet,Screenshot_2024-01-01-18-12-18-789_com.twitter.android-edit.jpg
,MEDIUM,TRUE,,"A banner that says ""Drink more water"" with an image of a jug pouring water into a glass.","The image is ironical, as the message ""Drink more water"" is meant to improve health, but in turn, it would lead to longer queues in front of public toilets, leading to people holding urine for longer periods, in turn leading to deterioration in health.",a very long queue in front of the public toilet,20240101_173013.jpg
,MEDIUM,,,a singer is singing in an orchestra on a stage,"The image is ironic, because as the singer is performing in an orchestra but because there is so much crowd people at the back are not able to get a clear view of the singer",a singer is singing in an orchestra on a stage but the stage is very far from were the image is taken,20240101_180636.jpg
,EASY,,,people holding lighters in front of a woman holding an unburnt cigarette in her mouth.,"The image is ironical, as people seem to be holding lighters to light up a woman's cigarette at an attempt to probably  impress her, while showing that the very same people are holding their noses on account of what appears to be bad smell coming out of the woman's mouth.",people holding their noses on account of what appears to be bad smell coming out of a woman's mouth.,20240101_175859.jpg
,MEDIUM,,,people traveling on the bus,the irony in this image is that the seat right above a bus' wheels is the most uncomfortable one.,a person sitting uncomfortably on a bus,20240101_172834.jpg
,EASY,TRUE,TRUE,an image of home screen of a phone with 100% battery in red circle,"The image is ironic, because",an image of screen of a phone with a screenshot open with a low battery percentage,20240101_173205.jpg
,EASY,TRUE,,"It is a text saying ""i wish you were here"" indicating that someone is missing their partner","The images are funny since it shows how even though a man writes to his partner that he wishes she was there to show that he misses her, it would be inappropriate and gross if it were to happen literally as he is sitting on his toilet",It is a man using his phone while using a toilet,20240101_174025.jpg
